    0.000000 start
    4.338944 read initial snapshot
  702.742817 have memory trace of crashed thread
  702.745099 built rip trace
  702.745144 have proximal cause
  702.881736 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c4
  702.882650 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c2
  702.882821 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c2
  702.884175 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b8
  702.884348 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b8
  702.884731 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b6
  702.884898 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b6
  702.885224 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b4
  702.885388 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b4
  702.886298 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b2
  702.886470 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97b2
  702.887485 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97af
  702.887656 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97af
  702.888039 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97ad
  702.888210 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97ad
  702.888811 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97a5
